,x_pos,y_pos,threshold,ci_low,ci_high,ci_size,width,image,id
0,0,0,14.173614314095563,10.170196564356825,22.854961034594194,12.684764470237369,19.917327308955493,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/0_0.png,0
1,0,1,19.602239476615047,11.682304919825647,40.28665805159542,28.60435313176977,41.20543354890812,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/0_1.png,5
2,0,2,29.633428194609216,22.292479804174267,41.56835498629658,19.275875182122316,25.572501763250955,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/0_2.png,10
3,0,3,34.55903840937793,29.097210054327615,42.20448681871416,13.107276764386544,14.818577910140554,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/0_3.png,15
4,1,0,33.39839544597114,25.440000458009603,48.936208259427936,23.496207801418333,44.90240403134375,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/1_0.png,1
5,1,1,10.806923014531677,6.5472976849677345,18.983420705082885,12.43612302011515,17.12503984218816,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/1_1.png,6
6,1,2,24.282214183121887,17.283092283544697,36.24747854678407,18.964386263239376,23.136405883279423,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/1_2.png,11
7,1,3,23.318827705172176,18.87839281713348,32.59865460131777,13.720261784184288,22.79865082470284,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/1_3.png,16
8,2,0,26.28969808291941,21.199701414301508,34.37885310936576,13.179151695064249,19.20343482578478,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/2_0.png,2
9,2,1,24.852879777547518,15.013901224786228,29.86641749958659,14.852516274800362,1.970603201152454,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/2_1.png,7
10,2,2,19.80194788106996,14.667206008980996,32.41219788432811,17.74499187534711,27.19531564733898,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/2_2.png,12
11,2,3,9.59697450294458,6.546909800732111,13.780578094658333,7.233668293926222,9.477153865408535,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/2_3.png,17
12,3,0,33.25407430712819,28.127761485177277,35.6561099139475,7.528348428770226,1.964030389198218,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/3_0.png,3
13,3,1,21.249500050880673,15.389139526479413,31.63550645920379,16.246366932724378,19.95403302118259,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/3_1.png,8
14,3,2,13.936033992060377,8.788251932856856,31.499548010546114,22.71129607768926,5.154330300765029,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/3_2.png,13
15,3,3,5.569917083617366,3.8787009756483215,8.129409130811439,4.250708155163117,3.9322017443593964,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/3_3.png,18
16,4,0,26.766787488105123,19.305236879551043,40.911422086633515,21.606185207082472,25.97275682542241,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/4_0.png,4
17,4,1,19.18859954169728,15.453412203945007,30.450217460246925,14.996805256301919,8.809259604008101,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/4_1.png,9
18,4,2,24.144558016982124,14.410783965219128,33.64435765984096,19.233573694621835,5.671752151606583,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/4_2.png,14
19,4,3,8.33305469888588,4.928236939129277,15.304368262736872,10.376131323607595,4.367333842596718,https://raw.githubusercontent.com/LukasManinger/AppliedCogSci/main/crops/img0/4_3.png,19
